node_code,node_name,center_1_code,center_1_name
01001,L'Abergement-Clémenciat,01093,Châtillon-sur-Chalaronne
01002,L'Abergement-de-Varey,,
01004,Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey
01005,Ambérieux-en-Dombes,69123,Lyon
01006,Ambléon,01034,Belley
01007,Ambronay,01004,Ambérieu-en-Bugey
01008,Ambutrix,01004,Ambérieu-en-Bugey
01009,Andert-et-Condon,01034,Belley
01010,Anglefort,,
01011,Apremont,01283,Oyonnax
01012,Aranc,01185,Plateau d'Hauteville
01013,Arandas,01004,Ambérieu-en-Bugey
01014,Arbent,01283,Oyonnax
01015,Arboys en Bugey,01034,Belley
01016,Arbigny,71270,Mâcon
01017,Argis,,
01019,Armix,,
01021,Ars-sur-Formans,69123,Lyon
01022,Artemare,01034,Belley
01023,Asnières-sur-Saône,71270,Mâcon
01024,Attignat,01053,Bourg-en-Bresse
01025,Bâgé-Dommartin,71270,Mâcon
01026,Bâgé-le-Châtel,71270,Mâcon
01027,Balan,69123,Lyon
01028,Baneins,,
01029,Beaupont,01053,Bourg-en-Bresse
01030,Beauregard,69123,Lyon
01031,Bellignat,01283,Oyonnax
01032,Béligneux,69123,Lyon
01033,Valserhône,SUC1L,GENEVE
01034,Belley,01034,Belley
01035,Belleydoux,01283,Oyonnax
01036,Valromey-sur-Séran,01034,Belley
01037,Bénonces,,
01038,Bény,01053,Bourg-en-Bresse
01040,Béréziat,01053,Bourg-en-Bresse
01041,Bettant,01004,Ambérieu-en-Bugey
01042,Bey,71270,Mâcon
01043,Beynost,69123,Lyon
01044,Billiat,SUC1L,GENEVE
01045,Birieux,69123,Lyon
01046,Biziat,,
01047,Blyes,69123,Lyon
01049,La Boisse,69123,Lyon
01050,Boissey,71270,Mâcon
01051,Bolozon,,
01052,Bouligneux,69123,Lyon
01053,Bourg-en-Bresse,01053,Bourg-en-Bresse
01054,Bourg-Saint-Christophe,69123,Lyon
01056,Boyeux-Saint-Jérôme,,
01057,Boz,71270,Mâcon
01058,Brégnier-Cordon,,
01060,Brénod,01185,Plateau d'Hauteville
01061,Brens,01034,Belley
01062,Bressolles,69123,Lyon
01063,Brion,01283,Oyonnax
01064,Briord,,
01065,Buellas,01053,Bourg-en-Bresse
01066,La Burbanche,01034,Belley
01067,Ceignes,,
01068,Cerdon,,
01069,Certines,01053,Bourg-en-Bresse
01071,Cessy,SUC1L,GENEVE
01072,Ceyzériat,01053,Bourg-en-Bresse
01073,Ceyzérieu,01034,Belley
01074,Chalamont,69123,Lyon
01075,Chaleins,69123,Lyon
01076,Chaley,,
01077,Challes-la-Montagne,,
01078,Challex,SUC1L,GENEVE
01079,Champagne-en-Valromey,,
