node_code,node_name,center_1_code,center_1_name,center_2_code,center_2_name,center_3_code,center_3_name,center_4_code,center_4_name,center_5_code,center_5_name,center_6_code,center_6_name,center_7_code,center_7_name,center_8_code,center_8_name,center_9_code,center_9_name,center_10_code,center_10_name,center_11_code,center_11_name,center_12_code,center_12_name,center_13_code,center_13_name,center_14_code,center_14_name,center_15_code,center_15_name,center_16_code,center_16_name,center_17_code,center_17_name,center_18_code,center_18_name,center_19_code,center_19_name,center_20_code,center_20_name
000000,UNKNOWN,000000,UNKNOWN,000000,UNKNOWN,000000,UNKNOWN,012133,Varese,012133,Varese,012133,Varese,012133,Varese,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001001,Agliè,001001,Agliè,001001,Agliè,001001,Agliè,001217,Rivarolo Canavese,001217,Rivarolo Canavese,001217,Rivarolo Canavese,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001002,Airasca,001002,Airasca,001002,Airasca,001191,Pinerolo,001191,Pinerolo,001191,Pinerolo,001191,Pinerolo,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001003,Ala di Stura,,,,,,,,,,,,,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001004,Albiano d'Ivrea,001004,Albiano d'Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001005,Alice Superiore,,,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001006,Almese,001006,Almese,001006,Almese,001006,Almese,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001007,Alpette,,,,,001098,Cuorgnè,001098,Cuorgnè,001217,Rivarolo Canavese,001217,Rivarolo Canavese,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001008,Alpignano,001008,Alpignano,001008,Alpignano,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001009,Andezeno,001009,Andezeno,001078,Chieri,001078,Chieri,001078,Chieri,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
