node_code,node_name,center_1_code,center_1_name,center_2_code,center_2_name,center_3_code,center_3_name,center_4_code,center_4_name,center_5_code,center_5_name,center_6_code,center_6_name,center_7_code,center_7_name,center_8_code,center_8_name,center_9_code,center_9_name,center_10_code,center_10_name,center_11_code,center_11_name,center_12_code,center_12_name,center_13_code,center_13_name,center_14_code,center_14_name,center_15_code,center_15_name,center_16_code,center_16_name,center_17_code,center_17_name,center_18_code,center_18_name,center_19_code,center_19_name,center_20_code,center_20_name
00301,UNKNOWN,53073,Whatcom County,53073,Whatcom County,53073,Whatcom County,53073,Whatcom County,53073,Whatcom County,53073,Whatcom County,53073,Whatcom County,53073,Whatcom County,53033,King County,53033,King County,53033,King County,53033,King County,53033,King County,53033,King County,53033,King County,53033,King County,53033,King County,06037,Los Angeles County,36061,New York County,36061,New York County
00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,00303,UNKNOWN,48215,Hidalgo County,48215,Hidalgo County,48215,Hidalgo County,48215,Hidalgo County,48215,Hidalgo County,48201,Harris County,48201,Harris County,48113,Dallas County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01001,Autauga County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01003,Baldwin County,01003,Baldwin County,01003,Baldwin County,01003,Baldwin County,01003,Baldwin County,01097,Mobile County,01097,Mobile County,01097,Mobile County,01097,Mobile County,01097,Mobile County,01097,Mobile County,01097,Mobile County,22051,Jefferson Parish,22051,Jefferson Parish,22051,Jefferson Parish,22051,Jefferson Parish,48113,Dallas County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01005,Barbour County,01005,Barbour County,01005,Barbour County,01005,Barbour County,01005,Barbour County,01005,Barbour County,01005,Barbour County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01007,Bibb County,01007,Bibb County,01007,Bibb County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01009,Blount County,01009,Blount County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01011,Bullock County,01011,Bullock County,01011,Bullock County,01011,Bullock County,01011,Bullock County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01013,Butler County,01013,Butler County,01013,Butler County,01013,Butler County,01013,Butler County,01013,Butler County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01015,Calhoun County,01015,Calhoun County,01015,Calhoun County,01015,Calhoun County,01015,Calhoun County,01015,Calhoun County,01015,Calhoun County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
